,label
comorb_CKD,Moderate to severe CKD
comorb_COPD,COPD
comorb_CVA,CVA or TIA
comorb_diabetes1,Uncomplicated diabetes mellitus
comorb_infarct,Myocardial infarction
comorb_met,Metastasis
comorb_met_local_lung,Metastasis
comorb_met_lung,Metastasis
comorb_vascular,Peripheral vascular disease
diag_DC18,Kræft i tyktarmen
diag_DC34,Kræft i bronkier og lunge
diag_DC71,Kræft i hjernen
diag_DC77,Metastaser og ikke nærmere specificeret kræft i lymfeknuder
diag_DC78,Metastaser i åndedrætsorganer og fordøjelsessystemet
diag_DC787,Metastase i leveren
diag_DC79,Metastaser i andre specificerede lokalisationer
diag_DC793,Metastase i hjernen eller hjernehinder
diag_DC795,Metastase i knogle eller knoglemarven
diag_DC80,Ikke nærmere specificeret kræft (ukendt primærtumor)
side_effect_anemia,Anemia
side_effect_bact_inf,Bacterial infection
side_effect_cogn_pb,Cognitive problem
side_effect_constip,Constipation
side_effect_diarrhea,Diarrhea
side_effect_fatigue,Fatigue
side_effect_nausea,Nausea
side_effect_neutropenia,Neutropenia
side_effect_pain,Pain
pato_F29215,ALK negativ
pato_FE13C1,EGFR genstatus normal
pato_FE13CA,EGFR genmutation p.Leu858Arg
pato_FE13CK,EGFR gendeletion exon 19
pato_FE13E1,BRAF genstatus normal
pato_M40000,inflammation
pato_M41000,akut inflammation
pato_M42100,akut og kronisk inflammation
pato_M43000,kronisk inflammation
pato_M49000,fibrose
pato_M54000,nekrose
pato_M55770,aflejring af kulstøv
pato_M69700,atypiske celler
pato_M69760,malignitetssuspekte celler
pato_M72000,hyperplasi
pato_M73220,planocellulær metaplasi
pato_M74009,dysplasi
pato_M74B09,moderat dysplasi
pato_M77810,sinushistiocytose
pato_M80013,maligne tumorceller
pato_M80103,karcinom
pato_M80106,"metastase, karcinom"
pato_M80133,storcellet neuroendokrint karcinom
pato_M80136,"metastase, storcellet neuroendokrint karcinom"
pato_M80193,ikkesmåcellet karcinom
pato_M80196,"metastase, ikkesmåcellet karcinom"
pato_M80413,småcellet karcinom
pato_M80416,"metastase, småcellet karcinom"
pato_M80702,planocellulært karcinom in situ
pato_M80703,planocellulært karcinom
pato_M80706,"metastase, planocellulært karcinom"
pato_M81403,adenokarcinom
pato_M81404,"adenokarcinom, direkte spredning"
pato_M81406,"metastase, adenokarcinom"
pato_M81409,"adenokarcinom, usikkert om primært eller metastase"
pato_M814A0,low grade neoplasi
pato_M82110,tubulært adenom
pato_M82466,"metastase, neuroendokrint karcinom"
pato_ÆF1830,pT1
pato_ÆF1831,pT1a
pato_ÆF1840,pT2
pato_ÆF1841,pT2a
pato_ÆF1850,pT3
pato_ÆF1900,pN0
pato_ÆF1910,pN1
pato_ÆF1920,pN2
pato_ÆF2050,pMx
pato_ÆF4100,udgangspunkt i lunge
pato_ÆF4999,udgangspunkt ukendt
pato_ÆKPA00,PD-L1 positivitet <1%
pato_ÆKPA15,PD-L1 positivitet > 1% og <50%
pato_ÆKPA50,PD-L1 positivitet >= 50%
pato_ÆXXX39,højre
pato_ÆXXX3X,venstre
pato_ÆYYY00,obs. pro
pato_ÆYYYD3,lav differentieringsgrad
blood_test_NPU01349,Basophilocytes i × 10<sup>9</sup>/L
blood_test_NPU01349_diff,Basophilocytes i × 10<sup>9</sup>/L (difference)
blood_test_NPU01370,Bilirubins i µmol/L
blood_test_NPU01370_diff,Bilirubins i µmol/L (difference)
